row_index,Mfg_Part_Num,MANUFACTURER_NAME,BRAND_NAME,confidence_score,needs_human_review,review_reason,groundedness_score
245,ADCR5117512SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
246,543140908,U S Lumber,TREX®,1.0,False,Clean,1.0
247,543142908,U S Lumber,TREX®,1.0,False,Clean,1.0
248,543143908,U S Lumber,TREX®,1.0,False,Clean,1.0
249,543140912,U S Lumber,TREX®,1.0,False,Clean,1.0
250,543142912,U S Lumber,TREX®,1.0,False,Clean,1.0
251,543143912,U S Lumber,TREX®,1.0,False,Clean,1.0
252,1513715,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
253,1513716,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
254,1513722,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
255,1513723,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
256,1513729,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
257,1513730,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
258,543076916,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
259,1516876,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
260,543076936,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
261,1516878,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
262,1516884,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
263,1516885,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
264,543005916,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
265,1516902,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
266,543007916,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
267,543005936,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
268,1516905,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
269,543007936,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
270,543144908,U S Lumber,TREX®,1.0,False,Clean,1.0
